scenario_approach;run_id;approach;scenario;t_e2e_ms;t_protocol_overhead_ms;t_api_logic_ms;tools_called;api_status_codes;success;judge_score;judge_reason
dirty_direct;46;direct;dirty;11425.677;0.004;4103.679;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;47;direct;dirty;12756.511;0.004;4081.346;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;48;direct;dirty;10475.314;0.004;4118.974;get_inventory_direct, get_inventory_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;49;direct;dirty;11117.046;0.004;4071.141;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;50;direct;dirty;6345.837;0.002;2032.229;get_inventory_direct;200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;51;direct;dirty;7166.694;0.002;2057.562;get_inventory_direct;200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;52;direct;dirty;14857.006;0.006;6167.712;get_inventory_direct, get_inventory_direct, get_product_stock_direct;500, 500, 200;False;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;53;direct;dirty;11431.907;0.004;4099.242;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;54;direct;dirty;9922.691;0.004;4105.686;get_inventory_direct, get_inventory_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;55;direct;dirty;11181.48;0.004;4105.098;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;56;direct;dirty;7040.509;0.002;2053.305;get_inventory_direct;200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;57;direct;dirty;11521.819;0.004;4105.11;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;58;direct;dirty;10795.058;0.004;4091.588;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;59;direct;dirty;11497.746;0.004;4079.97;get_inventory_direct, get_product_stock_direct;500, 200;False;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;60;direct;dirty;10990.084;0.004;4095.69;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;61;direct;dirty;11379.99;0.004;4095.258;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;62;direct;dirty;10509.224;0.004;4106.128;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;63;direct;dirty;11365.377;0.004;4088.468;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;64;direct;dirty;11911.197;0.004;4116.269;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;65;direct;dirty;7117.895;0.002;2032.444;get_inventory_direct;200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;66;direct;dirty;11421.561;0.004;4098.931;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;67;direct;dirty;7064.152;0.002;2058.539;get_inventory_direct;200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;68;direct;dirty;10994.752;0.004;4067.251;get_inventory_direct, get_product_stock_direct;500, 200;False;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;69;direct;dirty;14951.957;0.006;6116.857;get_inventory_direct, get_inventory_direct, get_product_stock_direct;200, 200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;70;direct;dirty;7380.521;0.002;2054.666;get_inventory_direct;200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;71;direct;dirty;11323.42;0.004;4102.76;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;72;direct;dirty;11572.562;0.004;4108.717;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;73;direct;dirty;7473.983;0.002;2071.065;get_inventory_direct;200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;74;direct;dirty;12631.411;0.004;4096.981;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;75;direct;dirty;11397.32;0.004;4097.236;get_inventory_direct, get_product_stock_direct;500, 200;False;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;76;direct;dirty;10817.535;0.004;4092.002;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;77;direct;dirty;11061.919;0.004;4064.2;get_inventory_direct, get_product_stock_direct;500, 200;False;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;78;direct;dirty;11190.184;0.004;4100.211;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;79;direct;dirty;10289.886;0.004;4093.785;get_inventory_direct, get_inventory_direct;500, 500;False;0.2;Baseline 0/3 passed. Failed: product_list, second_item_name, second_item_stock | Robustness bonus: +0.2 (robustness_error_noted, robustness_uncertainty passed)
dirty_direct;80;direct;dirty;10923.425;0.004;4105.042;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;81;direct;dirty;11651.753;0.004;4084.77;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;82;direct;dirty;11406.248;0.005;4111.179;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;83;direct;dirty;10604.118;0.004;4100.049;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;84;direct;dirty;11425.032;0.004;4080.627;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;85;direct;dirty;6770.384;0.003;2051.215;get_inventory_direct;200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;86;direct;dirty;11201.046;0.004;4064.107;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;87;direct;dirty;11251.639;0.004;4086.195;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;88;direct;dirty;6695.067;0.002;2034.978;get_inventory_direct;200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;89;direct;dirty;10816.148;0.003;4097.488;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;90;direct;dirty;14631.25;0.006;6174.74;get_inventory_direct, get_inventory_direct, get_product_stock_direct;500, 200, 200;False;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;91;direct;dirty;10635.267;0.004;4073.683;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;92;direct;dirty;10544.672;0.004;4075.381;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;93;direct;dirty;10915.344;0.004;4084.701;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;94;direct;dirty;11459.163;0.004;4084.745;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;95;direct;dirty;7279.525;0.002;2038.869;get_inventory_direct;200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;96;direct;dirty;12374.299;0.004;4086.757;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;97;direct;dirty;11045.302;0.004;4079.57;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;98;direct;dirty;16166.151;0.006;6150.257;get_inventory_direct, get_inventory_direct, get_product_stock_direct;500, 200, 200;False;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;99;direct;dirty;11060.54;0.004;4080.68;get_inventory_direct, get_product_stock_direct;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_direct;100;direct;dirty;7563.07;0.002;2023.401;get_inventory_direct;200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;1;mcp;dirty;15974.349;6178.468;0.059;get_inventory_mcp, get_inventory_mcp, get_stock_mcp;500, 200, 200;False;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;2;mcp;dirty;10754.626;4110.563;0.044;get_inventory_mcp, get_stock_mcp;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;3;mcp;dirty;15871.571;6140.279;0.055;get_inventory_mcp, get_inventory_mcp, get_stock_mcp;500, 200, 200;False;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;4;mcp;dirty;11224.252;4141.68;0.043;get_inventory_mcp, get_stock_mcp;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;5;mcp;dirty;12426.012;4108.742;0.049;get_inventory_mcp, get_stock_mcp;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;6;mcp;dirty;10650.561;4103.614;0.05;get_inventory_mcp, get_stock_mcp;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;7;mcp;dirty;10106.627;4142.069;0.042;get_inventory_mcp, get_stock_mcp;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;8;mcp;dirty;16164.196;6170.477;0.054;get_inventory_mcp, get_inventory_mcp, get_stock_mcp;500, 200, 200;False;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;9;mcp;dirty;10622.538;4101.501;0.042;get_inventory_mcp, get_stock_mcp;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;10;mcp;dirty;10371.003;4082.603;0.047;get_inventory_mcp, get_stock_mcp;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;11;mcp;dirty;15396.696;6176.742;0.056;get_inventory_mcp, get_inventory_mcp, get_stock_mcp;500, 200, 200;False;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;12;mcp;dirty;11619.397;4106.957;0.048;get_inventory_mcp, get_stock_mcp;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;13;mcp;dirty;10914.71;4076.135;0.042;get_inventory_mcp, get_stock_mcp;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;14;mcp;dirty;11327.517;4095.299;0.043;get_inventory_mcp, get_stock_mcp;200, 500;False;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;15;mcp;dirty;12331.358;4123.669;0.046;get_inventory_mcp, get_stock_mcp;200, 500;False;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;16;mcp;dirty;15859.329;6184.584;0.058;get_inventory_mcp, get_inventory_mcp, get_stock_mcp;500, 200, 200;False;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;17;mcp;dirty;10941.884;4113.069;0.041;get_inventory_mcp, get_stock_mcp;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;18;mcp;dirty;15907.136;6141.504;0.053;get_inventory_mcp, get_inventory_mcp, get_stock_mcp;503, 200, 200;False;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;19;mcp;dirty;10924.379;4088.816;0.043;get_inventory_mcp, get_stock_mcp;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;20;mcp;dirty;10811.506;4096.639;0.051;get_inventory_mcp, get_stock_mcp;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;21;mcp;dirty;11011.172;4099.26;0.046;get_inventory_mcp, get_stock_mcp;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;22;mcp;dirty;10772.72;4119.68;0.047;get_inventory_mcp, get_stock_mcp;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;23;mcp;dirty;15318.532;6178.964;0.055;get_inventory_mcp, get_inventory_mcp, get_stock_mcp;500, 200, 200;False;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;24;mcp;dirty;10412.382;4121.713;0.043;get_inventory_mcp, get_stock_mcp;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;25;mcp;dirty;10828.071;4101.002;0.041;get_inventory_mcp, get_stock_mcp;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;26;mcp;dirty;11618.265;4101.69;0.042;get_inventory_mcp, get_stock_mcp;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;27;mcp;dirty;10699.302;4146.359;0.045;get_inventory_mcp, get_stock_mcp;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;28;mcp;dirty;10944.91;4107.16;0.049;get_inventory_mcp, get_stock_mcp;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;29;mcp;dirty;11538.3;4136.886;0.041;get_inventory_mcp, get_stock_mcp;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;30;mcp;dirty;11960.117;4107.492;0.05;get_inventory_mcp, get_stock_mcp;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;31;mcp;dirty;10643.262;4115.521;0.042;get_inventory_mcp, get_stock_mcp;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;32;mcp;dirty;11077.74;4106.041;0.041;get_inventory_mcp, get_stock_mcp;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;33;mcp;dirty;14695.622;6163.359;0.055;get_inventory_mcp, get_inventory_mcp, get_stock_mcp;503, 200, 200;False;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;34;mcp;dirty;10942.848;4103.643;0.04;get_inventory_mcp, get_stock_mcp;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
dirty_mcp;35;mcp;dirty;10744.866;4097.713;0.044;get_inventory_mcp, get_stock_mcp;200, 200;True;1.0;All 3 baseline checks passed | Robustness bonus missed: robustness_error_noted, robustness_uncertainty
